,cost,percentage
0,0,0
1,9.755287009,0.001199041
2,19.51057402,0.003597122
3,29.26586103,0.007194245
4,39.02114804,0.009592326
5,48.77643505,0.011990408
6,58.53172205,0.014388489
7,68.28700906,0.016786571
8,78.04229607,0.020383693
9,87.79758308,0.021582734
10,97.55287009,0.023980815
11,107.3081571,0.026378897
12,117.0634441,0.029976019
13,126.8187311,0.033573141
14,136.5740181,0.038369305
15,146.3293051,0.040767386
16,156.0845921,0.043165468
17,165.8398792,0.045563549
18,175.5951662,0.047961631
19,185.3504532,0.050359712
20,195.1057402,0.052757794
21,204.8610272,0.055155875
22,214.6163142,0.057553957
23,224.3716012,0.061151079
24,234.1268882,0.064748201
25,243.8821752,0.064748201
26,253.6374622,0.067146283
27,263.3927492,0.069544365
28,273.1480363,0.071942446
29,282.9033233,0.075539568
30,292.6586103,0.07793765
31,302.4138973,0.081534772
32,312.1691843,0.083932854
33,321.9244713,0.086330935
34,331.6797583,0.087529976
35,341.4350453,0.089928058
36,351.1903323,0.09352518
37,360.9456193,0.095923261
38,370.7009063,0.097122302
39,380.4561934,0.101918465
40,390.2114804,0.103117506
41,399.9667674,0.105515588
42,409.7220544,0.107913669
43,419.4773414,0.110311751
44,429.2326284,0.112709832
45,438.9879154,0.115107914
46,448.7432024,0.117505995
47,458.4984894,0.119904077
48,468.2537764,0.122302158
49,478.0090634,0.12470024
50,487.7643505,0.127098321
51,497.5196375,0.129496403
52,507.2749245,0.131894484
53,517.0302115,0.134292566
54,526.7854985,0.136690647
55,536.5407855,0.139088729
56,546.2960725,0.141486811
57,556.0513595,0.143884892
58,565.8066465,0.146282974
59,575.5619335,0.148681055
60,585.3172205,0.151079137
61,595.0725076,0.153477218
62,604.8277946,0.1558753
63,614.5830816,0.158273381
64,624.3383686,0.160671463
65,634.0936556,0.163069544
66,643.8489426,0.165467626
67,653.6042296,0.167865707
68,663.3595166,0.170263789
69,673.1148036,0.172661871
70,682.8700906,0.175059952
71,692.6253776,0.177458034
72,702.3806647,0.179856115
73,712.1359517,0.182254197
74,721.8912387,0.182254197
75,731.6465257,0.185851319
76,741.4018127,0.18705036
77,751.1570997,0.190647482
78,760.9123867,0.193045564
79,770.6676737,0.194244604
80,780.4229607,0.196642686
81,790.1782477,0.199040767
82,799.9335347,0.200239808
83,809.6888218,0.20383693
84,819.4441088,0.206235012
85,829.1993958,0.208633094
86,838.9546828,0.211031175
87,848.7099698,0.213429257
88,858.4652568,0.215827338
89,868.2205438,0.21822542
90,877.9758308,0.21822542
91,887.7311178,0.220623501
92,897.4864048,0.223021583
93,907.2416918,0.225419664
94,916.9969789,0.227817746
95,926.7522659,0.230215827
96,936.5075529,0.232613909
97,946.2628399,0.23501199
98,956.0181269,0.23501199
99,965.7734139,0.237410072
100,975.5287009,0.239808153
101,985.2839879,0.242206235
102,995.0392749,0.244604317
103,1004.794562,0.247002398
104,1014.549849,0.24940048
105,1024.305136,0.251798561
106,1034.060423,0.252997602
107,1043.81571,0.254196643
108,1053.570997,0.256594724
109,1063.326284,0.258992806
110,1073.081571,0.260191847
111,1082.836858,0.263788969
112,1092.592145,0.26498801
113,1102.347432,0.26618705
114,1112.102719,0.268585132
115,1121.858006,0.270983213
116,1131.613293,0.270983213
117,1141.36858,0.273381295
118,1151.123867,0.275779376
119,1160.879154,0.278177458
120,1170.634441,0.28057554
121,1180.389728,0.28177458
122,1190.145015,0.282973621
123,1199.900302,0.285371703
124,1209.655589,0.285371703
125,1219.410876,0.287769784
126,1229.166163,0.290167866
127,1238.92145,0.291366906
128,1248.676737,0.292565947
129,1258.432024,0.294964029
